Char	Codept	Name (Digraph)	Link	Html
Ꝃ	U+A742	LATIN CAPITAL LETTER K WITH DIAGONAL STROKE	http://unicode-table.com/en/A742/	&#xA742;
ꝃ	U+A743	LATIN SMALL LETTER K WITH DIAGONAL STROKE	http://unicode-table.com/en/A743/	&#xA743;
Ꝅ	U+A744	LATIN CAPITAL LETTER K WITH STROKE AND DIAGONAL STROKE	http://unicode-table.com/en/A744/	&#xA744;
ꝅ	U+A745	LATIN SMALL LETTER K WITH STROKE AND DIAGONAL STROKE	http://unicode-table.com/en/A745/	&#xA745;
Ꝇ	U+A746	LATIN CAPITAL LETTER BROKEN L	http://unicode-table.com/en/A746/	&#xA746;
ꝇ	U+A747	LATIN SMALL LETTER BROKEN L	http://unicode-table.com/en/A747/	&#xA747;
Ꝉ	U+A748	LATIN CAPITAL LETTER L WITH HIGH STROKE	http://unicode-table.com/en/A748/	&#xA748;
ꝉ	U+A749	LATIN SMALL LETTER L WITH HIGH STROKE	http://unicode-table.com/en/A749/	&#xA749;
Ꝋ	U+A74A	LATIN CAPITAL LETTER O WITH LONG STROKE OVERLAY	http://unicode-table.com/en/A74A/	&#xA74A;
ꝋ	U+A74B	LATIN SMALL LETTER O WITH LONG STROKE OVERLAY	http://unicode-table.com/en/A74B/	&#xA74B;
Ꝍ	U+A74C	LATIN CAPITAL LETTER O WITH LOOP	http://unicode-table.com/en/A74C/	&#xA74C;
ꝍ	U+A74D	LATIN SMALL LETTER O WITH LOOP	http://unicode-table.com/en/A74D/	&#xA74D;
Ꝏ	U+A74E	LATIN CAPITAL LETTER OO	http://unicode-table.com/en/A74E/	&#xA74E;
ꝏ	U+A74F	LATIN SMALL LETTER OO	http://unicode-table.com/en/A74F/	&#xA74F;
Ꝑ	U+A750	LATIN CAPITAL LETTER P WITH STROKE THROUGH DESCENDER	http://unicode-table.com/en/A750/	&#xA750;
ꝑ	U+A751	LATIN SMALL LETTER P WITH STROKE THROUGH DESCENDER	http://unicode-table.com/en/A751/	&#xA751;
Ꝓ	U+A752	LATIN CAPITAL LETTER P WITH FLOURISH	http://unicode-table.com/en/A752/	&#xA752;
ꝓ	U+A753	LATIN SMALL LETTER P WITH FLOURISH	http://unicode-table.com/en/A753/	&#xA753;
Ꝕ	U+A754	LATIN CAPITAL LETTER P WITH SQUIRREL TAIL	http://unicode-table.com/en/A754/	&#xA754;
ꝕ	U+A755	LATIN SMALL LETTER P WITH SQUIRREL TAIL	http://unicode-table.com/en/A755/	&#xA755;
Ꝗ	U+A756	LATIN CAPITAL LETTER Q WITH STROKE THROUGH DESCENDER	http://unicode-table.com/en/A756/	&#xA756;
ꝗ	U+A757	LATIN SMALL LETTER Q WITH STROKE THROUGH DESCENDER	http://unicode-table.com/en/A757/	&#xA757;
Ꝙ	U+A758	LATIN CAPITAL LETTER Q WITH DIAGONAL STROKE	http://unicode-table.com/en/A758/	&#xA758;
ꝙ	U+A759	LATIN SMALL LETTER Q WITH DIAGONAL STROKE	http://unicode-table.com/en/A759/	&#xA759;
Ꝛ	U+A75A	LATIN CAPITAL LETTER R ROTUNDA	http://unicode-table.com/en/A75A/	&#xA75A;
ꝛ	U+A75B	LATIN SMALL LETTER R ROTUNDA	http://unicode-table.com/en/A75B/	&#xA75B;
Ꝝ	U+A75C	LATIN CAPITAL LETTER RUM ROTUNDA	http://unicode-table.com/en/A75C/	&#xA75C;
ꝝ	U+A75D	LATIN SMALL LETTER RUM ROTUNDA	http://unicode-table.com/en/A75D/	&#xA75D;
Ꝟ	U+A75E	LATIN CAPITAL LETTER V WITH DIAGONAL STROKE	http://unicode-table.com/en/A75E/	&#xA75E;
ꝟ	U+A75F	LATIN SMALL LETTER V WITH DIAGONAL STROKE	http://unicode-table.com/en/A75F/	&#xA75F;
Ꝡ	U+A760	LATIN CAPITAL LETTER VY	http://unicode-table.com/en/A760/	&#xA760;
ꝡ	U+A761	LATIN SMALL LETTER VY	http://unicode-table.com/en/A761/	&#xA761;
Ꝣ	U+A762	LATIN CAPITAL LETTER VISIGOTHIC Z	http://unicode-table.com/en/A762/	&#xA762;
ꝣ	U+A763	LATIN SMALL LETTER VISIGOTHIC Z	http://unicode-table.com/en/A763/	&#xA763;
Ꝥ	U+A764	LATIN CAPITAL LETTER THORN WITH STROKE	http://unicode-table.com/en/A764/	&#xA764;
ꝥ	U+A765	LATIN SMALL LETTER THORN WITH STROKE	http://unicode-table.com/en/A765/	&#xA765;
Ꝧ	U+A766	LATIN CAPITAL LETTER THORN WITH STROKE THROUGH DESCENDER http://unicode-table.com/en/A766/	&#xA766;
ꝧ	U+A767	LATIN SMALL LETTER THORN WITH STROKE THROUGH DESCENDER	http://unicode-table.com/en/A767/	&#xA767;
Ꝩ	U+A768	LATIN CAPITAL LETTER VEND	http://unicode-table.com/en/A768/	&#xA768;
ꝩ	U+A769	LATIN SMALL LETTER VEND	http://unicode-table.com/en/A769/	&#xA769;
Ꝫ	U+A76A	LATIN CAPITAL LETTER ET	http://unicode-table.com/en/A76A/	&#xA76A;
ꝫ	U+A76B	LATIN SMALL LETTER ET	http://unicode-table.com/en/A76B/	&#xA76B;
Ꝭ	U+A76C	LATIN CAPITAL LETTER IS	http://unicode-table.com/en/A76C/	&#xA76C;
ꝭ	U+A76D	LATIN SMALL LETTER IS	http://unicode-table.com/en/A76D/	&#xA76D;
Ꝯ	U+A76E	LATIN CAPITAL LETTER CON	http://unicode-table.com/en/A76E/	&#xA76E;
ꝯ	U+A76F	LATIN SMALL LETTER CON	http://unicode-table.com/en/A76F/	&#xA76F;
ꝰ	U+A770	MODIFIER LETTER US	http://unicode-table.com/en/A770/	&#xA770;
ꝱ	U+A771	LATIN SMALL LETTER DUM	http://unicode-table.com/en/A771/	&#xA771;
ꝲ	U+A772	LATIN SMALL LETTER LUM	http://unicode-table.com/en/A772/	&#xA772;
ꝳ	U+A773	LATIN SMALL LETTER MUM	http://unicode-table.com/en/A773/	&#xA773;
ꝴ	U+A774	LATIN SMALL LETTER NUM	http://unicode-table.com/en/A774/	&#xA774;
ꝵ	U+A775	LATIN SMALL LETTER RUM	http://unicode-table.com/en/A775/	&#xA775;
ꝶ	U+A776	LATIN LETTER SMALL CAPITAL RUM	http://unicode-table.com/en/A776/	&#xA776;
ꝷ	U+A777	LATIN SMALL LETTER TUM	http://unicode-table.com/en/A777/	&#xA777;
ꝸ	U+A778	LATIN SMALL LETTER UM	http://unicode-table.com/en/A778/	&#xA778;
Ꝺ	U+A779	LATIN CAPITAL LETTER INSULAR D	http://unicode-table.com/en/A779/	&#xA779;
ꝺ	U+A77A	LATIN SMALL LETTER INSULAR D	http://unicode-table.com/en/A77A/	&#xA77A;
Ꝼ	U+A77B	LATIN CAPITAL LETTER INSULAR F	http://unicode-table.com/en/A77B/	&#xA77B;
ꝼ	U+A77C	LATIN SMALL LETTER INSULAR F	http://unicode-table.com/en/A77C/	&#xA77C;
Ᵹ	U+A77D	LATIN CAPITAL LETTER INSULAR G	http://unicode-table.com/en/A77D/	&#xA77D;
Ꝿ	U+A77E	LATIN CAPITAL LETTER TURNED INSULAR G	http://unicode-table.com/en/A77E/	&#xA77E;
ꝿ	U+A77F	LATIN SMALL LETTER TURNED INSULAR G	http://unicode-table.com/en/A77F/	&#xA77F;
Ꞁ	U+A780	LATIN CAPITAL LETTER TURNED L	http://unicode-table.com/en/A780/	&#xA780;
ꞁ	U+A781	LATIN SMALL LETTER TURNED L	http://unicode-table.com/en/A781/	&#xA781;
Ꞃ	U+A782	LATIN CAPITAL LETTER INSULAR R	http://unicode-table.com/en/A782/	&#xA782;
ꞃ	U+A783	LATIN SMALL LETTER INSULAR R	http://unicode-table.com/en/A783/	&#xA783;
Ꞅ	U+A784	LATIN CAPITAL LETTER INSULAR S	http://unicode-table.com/en/A784/	&#xA784;
ꞅ	U+A785	LATIN SMALL LETTER INSULAR S	http://unicode-table.com/en/A785/	&#xA785;
Ꞇ	U+A786	LATIN CAPITAL LETTER INSULAR T	http://unicode-table.com/en/A786/	&#xA786;
ꞇ	U+A787	LATIN SMALL LETTER INSULAR T	http://unicode-table.com/en/A787/	&#xA787;
ꞈ	U+A788	MODIFIER LETTER LOW CIRCUMFLEX ACCENT	http://unicode-table.com/en/A788/	&#xA788;
꞉	U+A789	MODIFIER LETTER COLON	http://unicode-table.com/en/A789/	&#xA789;
꞊	U+A78A	MODIFIER LETTER SHORT EQUALS SIGN	http://unicode-table.com/en/A78A/	&#xA78A;
